timestamp,message
1.7284E+12,2 831926623418 eni-0406a06cbe08da95a 12.0.1.36 65.100.46.164 41509 123 17 1 76 1728401605 1728401643 ACCEPT OK
1.7284E+12,2 831926623418 eni-0406a06cbe08da95a 45.84.89.3 12.0.1.36 63093 3306 6 1 52 1728401645 1728401703 REJECT OK
1.7284E+12,2 831926623418 eni-0406a06cbe08da95a 106.75.144.153 12.0.1.36 58914 221 6 1 44 1728401645 1728401703 REJECT OK
1.7284E+12,2 831926623418 eni-0406a06cbe08da95a 80.82.77.139 12.0.1.36 23320 9002 6 1 44 1728401645 1728401703 REJECT OK
1.7284E+12,2 831926623418 eni-0406a06cbe08da95a 49.115.217.27 12.0.1.36 41686 6379 6 1 60 1728401645 1728401703 REJECT OK
1.7284E+12,2 831926623418 eni-0406a06cbe08da95a 193.163.125.236 12.0.1.36 52272 42355 6 1 44 1728401645 1728401703 REJECT OK
1.7284E+12,2 831926623418 eni-0406a06cbe08da95a 152.32.239.15 12.0.1.36 45475 5593 6 1 60 1728401645 1728401703 REJECT OK
1.7284E+12,2 831926623418 eni-0406a06cbe08da95a 147.185.132.87 12.0.1.36 51054 1080 6 1 44 1728401645 1728401703 REJECT OK
1.7284E+12,2 831926623418 eni-0406a06cbe08da95a 179.191.53.29 12.0.1.36 50160 23 6 1 40 1728401705 1728401763 REJECT OK
1.7284E+12,2 831926623418 eni-0406a06cbe08da95a 80.75.212.9 12.0.1.36 47193 12023 6 1 40 1728401705 1728401763 REJECT OK
1.7284E+12,2 831926623418 eni-0406a06cbe08da95a 110.72.251.226 12.0.1.36 49035 2223 6 1 40 1728401705 1728401763 REJECT OK
1.7284E+12,2 831926623418 eni-0406a06cbe08da95a 47.251.79.51 12.0.1.36 15386 30310 17 1 72 1728401765 1728401823 REJECT OK
1.7284E+12,2 831926623418 eni-0406a06cbe08da95a 143.42.1.52 12.0.1.36 37370 8443 6 1 44 1728401765 1728401823 REJECT OK
1.7284E+12,2 831926623418 eni-0406a06cbe08da95a 66.228.40.98 12.0.1.36 42421 3022 6 1 44 1728401765 1728401823 REJECT OK
1.7284E+12,2 831926623418 eni-0406a06cbe08da95a 206.168.35.193 12.0.1.36 7535 2052 6 1 60 1728401765 1728401823 REJECT OK
